Version,Model,source,country,group,DateoA,WoAi,YoAi,WoDi,YoDi,wk2,UCIc,LCIc,nbr,excess,zscore,DOTc,DOTb,DOTz,Pnb,Spring,Automn,nb,nbc,UPIc,LPIc,UPIb2,LCIb,UCIb,UCIe,LCIe,DOTm,DOTzm,CUSUM,FLAG,k,ARL0,h
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2008,2008-23,,,12,,,,,,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),16,16,,,,,,,,16,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2008,2008-24,,,23,2.106158,.5207046,,,,10.89384,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),13,13,,,19.62112,9.455229,12.55134,,,13,.5207046,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2008,2008-25,,,8,6.109471,1.43929,,,,10.89053,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),17,17,,,19.61456,9.459271,12.53835,,,17,1.43929,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2008,2008-26,,,13,4.112782,.991822,,,,10.88722,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),15,15,,,19.60803,9.463305,12.52538,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2008,2008-27,,,15,-3.883907,-1.061561,,,,10.88391,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),7,7,,,19.60151,9.467327,12.51245,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2008,2008-28,,,12,6.119402,1.442951,,,,10.8806,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),17,17,,,19.59501,9.471339,12.49954,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2008,2008-29,,,20,1.12271,.2818745,,,,10.87729,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),12,12,,,19.58852,9.47534,12.48667,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2008,2008-30,,,9,.1260176,.0321179,,,,10.87398,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),11,11,,,19.58205,9.47933,12.47382,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2008,2008-31,,,12,5.129324,1.224304,,,,10.87068,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),16,16,,,19.57559,9.483308,12.46101,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,32,2008,2008-32,,,17,4.132629,.9984255,,,,10.86737,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),15,15,,,19.56916,9.487274,12.44823,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,33,2008,2008-33,,,12,-4.864066,-1.361626,,,,10.86407,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),6,6,,,19.56273,9.491228,12.43547,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,34,2008,2008-34,,,7,2.139236,.5305014,,,,10.86076,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),13,13,,,19.55633,9.495172,12.42275,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,35,2008,2008-35,,,9,2.142539,.5314785,,,,10.85746,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),13,13,,,19.54994,9.499102,12.41006,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,36,2008,2008-36,,,19,6.145841,1.452638,,,,10.85416,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),17,17,,,19.54356,9.503018,12.39741,,,,,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,37,2008,2008-37,,,14,-1.85086,-.4884053,,,,10.85086,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),9,9,,,19.53721,9.506924,12.38478,,,9,-.4884053,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,38,2008,2008-38,,,13,-.8475599,-.2199705,,,,10.84756,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),10,10,,,19.53087,9.510815,12.37218,,,10,-.2199705,0,,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,39,2008,2008-39,,,6,-1.844262,-.4869541,,,,10.84426,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),9,9,,,19.52454,9.514693,12.35962,,,9,-.4869541,0,,.25,20,1.449226
