Version,Model,source,country,group,DateoA,WoAi,YoAi,WoDi,YoDi,wk2,zscore,DOTz,Spring,Automn,FLAG,k,ARL0,h
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2008,2008-23,,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2008,2008-24,.5207046,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2008,2008-25,1.43929,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2008,2008-26,.991822,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2008,2008-27,-1.061561,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2008,2008-28,1.442951,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2008,2008-29,.2818745,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2008,2008-30,.0321179,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2008,2008-31,1.224304,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,32,2008,2008-32,.9984255,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,33,2008,2008-33,-1.361626,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,34,2008,2008-34,.5305014,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,35,2008,2008-35,.5314785,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,36,2008,2008-36,1.452638,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,37,2008,2008-37,-.4884053,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,38,2008,2008-38,-.2199705,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,39,2008,2008-39,-.4869541,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,40,2008,2008-40,-.4862269,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,41,2008,2008-41,-.485499,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,42,2008,2008-42,.7766272,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,43,2008,2008-43,1.894241,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,44,2008,2008-44,-.4833095,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,45,2008,2008-45,1.240343,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,46,2008,2008-46,1.01367,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,47,2008,2008-47,.2983541,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,48,2008,2008-48,.2992678,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,49,2008,2008-49,-.7582002,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,50,2008,2008-50,.5460709,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,51,2008,2008-51,-1.674559,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,52,2008,2008-52,.5480074,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,1,2009,2009-01,.7879029,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,2,2009,2009-02,-1.350607,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,3,2009,2009-03,-1.350059,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,4,2009,2009-04,.7909588,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,5,2009,2009-05,-.4737278,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,6,2009,2009-06,-1.348401,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,7,2009,2009-07,-2.016055,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,8,2009,2009-08,-1.347285,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,9,2009,2009-09,1.029738,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,10,2009,2009-10,.5576537,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,11,2009,2009-11,-.200031,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,12,2009,2009-12,1.261624,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,13,2009,2009-13,.5605357,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,14,2009,2009-14,1.03503,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,15,2009,2009-15,.5624537,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,16,2009,2009-16,-.7451971,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,17,2009,2009-17,1.038189,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,18,2009,2009-18,-1.035547,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,19,2009,2009-19,1.040289,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,20,2009,2009-20,1.270409,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,21,2009,2009-21,.5681927,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,22,2009,2009-22,.0697901,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2009,2009-23,-1.338647,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2009,2009-24,-1.662041,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2009,2009-25,.0723657,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2009,2009-26,-.7381721,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2009,2009-27,.5739077,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2009,2009-28,.8150926,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2009,2009-29,.0758007,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2009,2009-30,.0766596,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2009,2009-31,-1.02707,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,32,2009,2009-32,.8190584,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,33,2009,2009-33,1.284455,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,34,2009,2009-34,-.4518325,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,35,2009,2009-35,.8220213,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,36,2009,2009-36,.5824331,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,37,2009,2009-37,-1.654901,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,38,2009,2009-38,-.1781704,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,39,2009,2009-39,.3383083,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,40,2009,2009-40,.339209,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,41,2009,2009-41,-.1757237,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,42,2009,2009-42,-.1749074,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,43,2009,2009-43,-1.326402,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,44,2009,2009-44,-1.01832,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,45,2009,2009-45,.5908998,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,46,2009,2009-46,-1.01695,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,47,2009,2009-47,-.1708204,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,48,2009,2009-48,.3464005,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,49,2009,2009-49,.3472977,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,50,2009,2009-50,-1.014191,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,51,2009,2009-51,-1.321276,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,52,2009,2009-52,-.1667248,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,53,2009,2009-53,-.71861,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,1,2010,2010-01,-1.644923,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,2,2010,2010-02,.098126,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,3,2010,2010-03,1.308581,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,4,2010,2010-04,.8434479,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,5,2010,2010-05,.3553524,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,6,2010,2010-06,-.7141502,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,7,2010,2010-07,.8463272,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,8,2010,2010-08,.3580293,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,9,2010,2010-09,-.1585106,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,10,2010,2010-10,.1049885,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,11,2010,2010-11,.8501498,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,12,2010,2010-12,.8511024,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,13,2010,2010-13,.6104094,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,14,2010,2010-14,.1084172,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,15,2010,2010-15,.8539532,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,16,2010,2010-16,.3651468,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,17,2010,2010-17,-2.363542,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,18,2010,2010-18,.1118441,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,19,2010,2010-19,.6159169,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,20,2010,2010-20,1.325793,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,21,2010,2010-21,-.1486167,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,22,2010,2010-22,-.7020661,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2010,2010-23,.3713486,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2010,2010-24,1.329764,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2010,2010-25,-.9941977,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2010,2010-26,.3739991,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),,.25,20,1.449226
