date;closed
2005-03-17;1
2005-03-25;1
2005-03-28;1
2005-05-02;1
2005-06-06;1
2005-08-01;1
2005-10-31;1
2005-12-26;1
2005-12-27;1
2005-12-28;1
2006-01-02;1
2006-03-17;1
2006-04-14;1
2006-04-17;1
2006-05-01;1
2006-06-05;1
2006-08-07;1
2006-10-30;1
2006-12-25;1
2006-12-26;1
2006-12-27;1
2007-01-01;1
2007-03-19;1
2007-04-06;1
2007-04-09;1
2007-05-07;1
2007-06-04;1
2007-08-06;1
2007-10-29;1
2007-12-25;1
2007-12-26;1
2008-01-01;1
2008-03-17;1
2008-03-21;1
2008-03-24;1
2008-05-05;1
2008-06-02;1
2008-08-04;1
2008-10-27;1
2008-12-25;1
2008-12-26;1
2009-01-01;1
2009-03-17;1
2009-04-10;1
2009-04-13;1
2009-05-04;1
2009-06-01;1
2009-08-03;1
2009-10-26;1
2009-12-25;1
2009-12-28;1
2010-01-01;1
2010-03-17;1
2010-04-05;1
2010-05-03;1
2010-06-07;1
2010-08-02;1
2010-10-25;1
2010-12-27;1
2010-12-28;1
2011-01-03;1
2011-02-17;1
2011-03-25;1
2011-05-02;1
2011-06-06;1
2011-08-01;1
2011-10-31;1
2011-12-26;1
2011-12-27;1
2012-01-02;1
2012-03-19;1
2012-04-06;1
2012-04-09;1
2012-05-07;1
2012-06-04;1
2012-08-06;1
2012-10-29;1
2012-12-25;1
2012-12-26;1
2013-01-01;1
2013-03-18;1
2013-03-29;1
2013-04-01;1
2013-05-06;1
2013-06-03;1
2013-08-05;1
2013-10-28;1
2013-12-25;1
2013-12-26;1
2014-01-01;1
2014-03-17;1
2014-04-18;1
2014-04-21;1
2014-05-05;1
2014-06-02;1
2014-08-04;1
2014-10-27;1
2014-12-25;1
2014-12-26;1
