Version,Model,source,country,group,DateoA,WoAi,YoAi,WoDi,YoDi,wk2,UCIc,LCIc,nbr,excess,zscore,DOTc,DOTb,DOTz,Pnb,Spring,Automn,nb,nbc,UPIc,LPIc,UPIb2,LCIb,UCIb,UCIe,LCIe,DOTm,DOTzm,CUSUM,FLAG,k,ARL0,h
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,23,2008,2008-23,,,12,,,,,,,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),16,16,,,,,,,,16,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,24,2008,2008-24,,,23,2.084605,0.5057271,,,,10.9154,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),13,13,,,19.82684,10.76809,11.0627,,,13,0.5057271,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,25,2008,2008-25,,,8,6.088156,1.407488,,,,10.91184,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),17,17,,,19.8197,10.76533,11.05835,,,17,1.407488,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,26,2008,2008-26,,,13,4.091706,0.9683307,,,,10.90829,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),15,15,,,19.81258,10.76258,11.05401,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,27,2008,2008-27,,,15,-3.904745,-1.047303,,,,10.90474,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),7,7,,,19.80547,10.75982,11.04967,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,28,2008,2008-28,,,12,6.098803,1.411355,,,,10.9012,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),17,17,,,19.79838,10.75707,11.04533,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,29,2008,2008-29,,,20,1.10235,0.2716158,,,,10.89765,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),12,12,,,19.79132,10.75431,11.04099,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,30,2008,2008-30,,,9,0.1058953,0.02648792,,,,10.8941,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),11,11,,,19.78427,10.75156,11.03665,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,31,2008,2008-31,,,12,5.10944,1.19697,,,,10.89056,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),16,16,,,19.77724,10.7488,11.03232,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,32,2008,2008-32,,,17,4.112983,0.975294,,,,10.88702,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),15,15,,,19.77023,10.74604,11.02799,,,,,0,,0.25,20,1.449226
v4-3,LINE,SSI,Denmark,0to4,31dec2013,1,2014,33,2008,2008-33,,,12,-4.883475,-1.341699,,,,10.88348,(WoDi>15 & WoDi<26),(WoDi>36 & WoDi<45),6,6,,,19.76323,10.74329,11.02366,,,,,0,,0.25,20,1.449226
